bnf_key,bnf_code_branded,bnf_name_branded,drug_dressing_appliances_branded,form_branded,dosage_branded,chem_name_branded,nic_sum_branded,items_sum_branded,nic_per_item_branded,bnf_code_generic,bnf_name_generic,drug_dressing_appliances_generic,form_generic,dosage_generic,chem_name_generic,nic_sum_generic,items_sum_generic,nic_per_item_generic,diff_branded_to_generic
0301011R0AP,0301011R0BEAIAP,Ventolin_Evohaler 100mcg (200 D),Ventolin,Evohaler,100mcg (200 D),Salbutamol,50695.37,24335,2.08322868296692,0301011R0AAAPAP,Salbutamol_Inha 100mcg (200 D) CFF,Salbutamol,Inha,100mcg (200 D) CFF,Salbutamol,89460.93,47115,1.8987780961477234,0.18445058681919657
0906040G0BY,0906040G0BNAABY,Adcal-D3_Tab Chble (Tutti-Frutti),Adcal-D3,Tab,Chble (Tutti-Frutti),Colecalciferol,55096.88,16658,3.3075327170128466,0906040G0AABYBY,Colecal & Calc_Tab Chble 400u/1.5g,Colecal & Calc,Tab,Chble 400u/1.5g,Colecalciferol,24374.41,7420,3.2849609164420484,0.022571800570798217
0106040M0AA,0106040M0BCACAA,Laxido_Oral Pdr Sach (Orange) S/F,Laxido,Oral,Pdr Sach (Orange) S/F,Macrogol 3350,78082.81,13792,5.6614566415313226,0106040M0AAAAAA,Macrogol_Co Oral Pdr Sach S/F,Macrogol,Co,Oral Pdr Sach S/F,Macrogol 3350,35878.63,6071,5.909838576840718,-0.24838193530939545
0407010F0AH,0407010F0BSAAAH,Zapain_Tab 30mg/500mg,Zapain,Tab,30mg/500mg,Co-Codamol (Codeine Phos/Paracetamol),52023.48,13501,3.8533056810606623,0407010F0AAAHAH,Co-Codamol_Tab 30mg/500mg,Co-Codamol,Tab,30mg/500mg,Co-Codamol (Codeine Phos/Paracetamol),66050.44,19474,3.3917243504159393,0.46158133064472295
0302000C0BF,0302000C0BPABBF,Clenil Modulite_Inha 100mcg (200D),Clenil Modulite,Inha,100mcg (200D),Beclometasone Dipropionate,111121.82,12669,8.771159523245718,0302000C0AABFBF,Beclomet Diprop_Inha 100mcg (200 D) CFF,Beclomet Diprop,Inha,100mcg (200 D) CFF,Beclometasone Dipropionate,2530.22,292,8.66513698630137,0.10602253694434793
0302000C0BX,0302000C0BQAABX,Fostair_Inh 100mcg/6mcg (120D) CFF,Fostair,Inh,100mcg/6mcg (120D) CFF,Beclometasone Dipropionate,427866.76,12339,34.67596725828673,0302000C0AABXBX,Beclomet Diprop/Formoterol_Inh100/6(120D,Beclomet Diprop/Formoterol,Inh100/6(120D,NA,Beclometasone Dipropionate,44067.96,1262,34.9191442155309,-0.24317695724416666
0906040G0CD,0906040G0BNADCD,Adcal-D3_Capl 750mg/200u,Adcal-D3,Capl,750mg/200u,Colecalciferol,20243.829999999998,9018,2.244824794854735,0906040G0AACDCD,Colecal & Calc_Tab 200u/750mg,Colecal & Calc,Tab,200u/750mg,Colecalciferol,3511.37,1488,2.3597916666666667,-0.11496687181193188
0301020Q0AD,0301020Q0BCAAAD,Braltus_Pdr For Inh Cap 10mcg+Zonda Inh,Braltus,Pdr,For Inh Cap 10mcg+Zonda Inh,Tiotropium,232870.8,7793,29.8820479917875,0301020Q0AAADAD,Tiotropium_Pdr For Inh Cap 10mcg + Dev,Tiotropium,Pdr,For Inh Cap 10mcg + Dev,Tiotropium,9778.2,356,27.46685393258427,2.415194059203227
0906040G0AN,0906040G0BXAAAN,Fultium-D3_Cap 800u,Fultium-D3,Cap,800u,Colecalciferol,32742.15,7725,4.238466019417476,0906040G0AAANAN,Colecal_Cap 800u,Colecal,Cap,800u,Colecalciferol,14810.92,3732,3.9686280814576635,0.2698379379598128
130201000BW,130201000BBICBW,Dermol 500_Lot,Dermol 500,Lot,NA,Other Emollient Preps,39423.04,5721,6.890935151197343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0601022B0AS,0601022B0BMABAS,Sukkarto SR_Tab 500mg,Sukkarto SR,Tab,500mg,Metformin Hydrochloride,29402.3,5695,5.162827041264267,0601022B0AAASAS,Metformin HCl_Tab 500mg M/R,Metformin HCl,Tab,500mg M/R,Metformin Hydrochloride,89862.61,11390,7.889605794556629,-2.726778753292362
120101050AB,120101050BCAAAB,Otomize_Ear Spy 5ml,Otomize,Ear,Spy 5ml,Dexamethasone,20077.8,5692,3.5273717498243147,120101050AAABAB,Gppe Ear Spy_Otomize,Gppe Ear Spy,Otomize,NA,Dexamethasone,9.81,3,3.27,0.25737174982431466
0906040G0BW,0906040G0BQAABW,Calceos_Tab Chble 500mg/400u,Calceos,Tab,Chble 500mg/400u,Colecalciferol,20799.71,5648,3.6826682011331444,0906040G0AABWBW,Colecal & Calc_Tab Chble 400u/1.25g,Colecal & Calc,Tab,Chble 400u/1.25g,Colecalciferol,13290.67,3428,3.8770915985997667,-0.1944233974666223
0601060D0A0,0601060D0CUABA0,GlucoRx Nexus (Reagent)_Strips,GlucoRx Nexus (Reagent),Strips,NA,Glucose Blood Testing Reagents,96465.25,5582,17.2814851307775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0206010K0AE,0206010K0CNAAAE,Monomil XL_Tab 60mg,Monomil XL,Tab,60mg,Isosorbide Mononitrate,18282.65,5263,3.473807714231427,0206010K0AAAEAE,Isosorbide Mononit_Tab 60mg M/R,Isosorbide Mononit,Tab,60mg M/R,Isosorbide Mononitrate,15891.73,1728,9.19660300925926,-5.722795295027833
0906040G0BS,0906040G0BKAABS,Accrete D3_Tab,Accrete D3,Tab,NA,Colecalciferol,12214.66,5036,2.4254686258935663,0906040G0AABSBS,Colecal & Calc_Tab 400u/1.5g,Colecal & Calc,Tab,400u/1.5g,Colecalciferol,345.78000000000003,133,2.5998496240601505,-0.17438099816658426
130201000A8,130201000BBCJA8,Aveeno_Crm,Aveeno,Crm,NA,Other Emollient Preps,44413.39,4926,9.01611652456354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003020P0AC,1003020P0BGAAAC,Fenbid_Gel 5%,Fenbid,Gel,5%,Ibuprofen,9125.1,4923,1.853564899451554,1003020P0AAACAC,Ibuprofen_Gel 5%,Ibuprofen,Gel,5%,Ibuprofen,5534.01,3267,1.6939118457300275,0.15965305372152638
0601022B0AV,0601022B0BMAAAV,Sukkarto SR_Tab 1000mg,Sukkarto SR,Tab,1000mg,Metformin Hydrochloride,26213.48,4608,5.688689236111111,0601022B0AAAVAV,Metformin HCl_Tab 1g M/R,Metformin HCl,Tab,1g M/R,Metformin Hydrochloride,50447.86,5825,8.660576824034335,-2.9718875879232236
0302000K0AM,0302000K0BDABAM,Symbicort_Turbohaler 200mcg/6mcg (120 D),Symbicort,Turbohaler,200mcg/6mcg (120 D),Budesonide,158843.81,4366,36.381999541914794,0302000K0AAAMAM,Budesonide/Formoterol_InhaB/A 200/6(120D,Budesonide/Formoterol,InhaB/A,200/6(120D,Budesonide,38332,1018,37.654223968565816,-1.2722244266510216
0703010F0AC,0703010F0BPAAAC,Rigevidon_Tab,Rigevidon,Tab,NA,Combined Ethinylestradiol 30mcg,12444.57,4312,2.886032003710575,0703010F0AAACAC,Ethinylest/Levonorgest_Tab 30/150mcg,Ethinylest/Levonorgest,Tab,30/150mcg,Combined Ethinylestradiol 30mcg,3094.25,738,4.192750677506775,-1.3067186737962002
0906040G0BY,0906040G0CWAABY,Evacal D3_Tab Chble 400u/1.5g,Evacal D3,Tab,Chble 400u/1.5g,Colecalciferol,11577.05,4281,2.7042863816865217,0906040G0AABYBY,Colecal & Calc_Tab Chble 400u/1.5g,Colecal & Calc,Tab,Chble 400u/1.5g,Colecalciferol,24374.41,7420,3.2849609164420484,-0.5806745347555267
